county,schooldistrict,schooldistrictlocation,id,level,popfrac,vaxrate,priorrate
Beaver,BEAVER,BEAVER,S0622,2,0.02343,0.872186552616768,0
Beaver,BEAVER,BEAVER,S0623,1,0.05927,0.871375437302049,0
Beaver,BEAVER,BEAVER,S0616,1,0.14128,0.934533587424085,0
Beaver,BEAVER,BEAVER,S0615,3,0.09717,0.826974905852694,0
Beaver,BEAVER,BEAVER,S0615,2,0.04273,0.799594526470173,0
Beaver,BEAVER,BEAVER,S0071,1,0.31082,0.987837765307631,0
Beaver,BEAVER,BEAVER,S0068,3,0.22536,0.776564635161776,0
Beaver,BEAVER,BEAVER,S0068,2,0.09993,0.806804023333825,0
Box Elder,,BOX ELDER,S1045,3,0.00088,0.954974704654887,0
Box Elder,,BOX ELDER,S1045,2,4e-04,0.883497333154082,0
Box Elder,,BOX ELDER,S0808,2,0.00694,0.996945989201777,0
Box Elder,,BOX ELDER,S0808,1,0.02711,0.939382733718958,0
Box Elder,,BOX ELDER,S0697,3,0.00048,0.991307986958418,0
Box Elder,,BOX ELDER,S0156,3,8e-04,0.843763001845218,0
Box Elder,BOX ELDER,BOX ELDER,S1166,1,0.01802,0.782377114752308,0
Box Elder,BOX ELDER,BOX ELDER,S1024,1,0.04018,0.916781686246395,0
Box Elder,BOX ELDER,BOX ELDER,S0990,3,0.0114,0.960302132472862,0
Box Elder,BOX ELDER,BOX ELDER,S0930,1,0.00151,0.972804645367432,0
Box Elder,BOX ELDER,BOX ELDER,S0777,2,0.00096,0.772561681398656,0
Box Elder,BOX ELDER,BOX ELDER,S0777,1,0.00128,0.908122463617474,0
Box Elder,BOX ELDER,BOX ELDER,S0712,1,0.04927,0.973416305030696,0
Box Elder,BOX ELDER,BOX ELDER,S0600,1,0.0401,0.908683642745018,0
Box Elder,BOX ELDER,BOX ELDER,S0526,1,0.04377,0.862568874785211,0
Box Elder,BOX ELDER,BOX ELDER,S0402,1,0.00048,0.787291821732651,0
Box Elder,BOX ELDER,BOX ELDER,S1300,1,0.06274,0.921245451376308,0
Box Elder,BOX ELDER,BOX ELDER,S0372,1,0.05023,0.988171540026087,0
Box Elder,BOX ELDER,BOX ELDER,S0343,1,0.0452,0.831542049534619,0
Box Elder,BOX ELDER,BOX ELDER,S0261,1,0.03412,0.850806002737954,0
Box Elder,BOX ELDER,BOX ELDER,S0177,1,0.03412,0.756530270038638,0
Box Elder,BOX ELDER,BOX ELDER,S0109,2,0.08459,0.98300544108497,0
Box Elder,BOX ELDER,BOX ELDER,S0108,3,0.13673,0.91910394502338,0
Box Elder,BOX ELDER,BOX ELDER,S0067,2,0.06713,0.755783506087027,0
Box Elder,BOX ELDER,BOX ELDER,S0066,3,0.09424,0.840295392845292,0
Box Elder,BOX ELDER,BOX ELDER,S0010,2,0.0684,0.954326676088385,0
Box Elder,BOX ELDER,BOX ELDER,S0006,2,0.07893,0.865685447235592,0
Cache,,CACHE,S1050,3,0.00084,0.878480341576505,0
Cache,,CACHE,S1019,2,0.0105,0.764377540734131,0
Cache,,CACHE,S1019,1,0.0217,0.905229389376473,0
Cache,,CACHE,S1018,2,0.00767,0.868343296460807,0
Cache,,CACHE,S1018,1,0.01343,0.8103194925352,0
Cache,,CACHE,S1015,2,0.00539,0.758447018801235,0
Cache,,CACHE,S1015,1,0.00748,0.839192573970649,0
Cache,,CACHE,S0469,3,0.00665,0.861660526366904,0
Cache,,CACHE,S0469,2,0.00228,0.97829424549127,0
Cache,,LOGAN,S0338,3,0.08711,0.900813582935371,0
Cache,,LOGAN,S0298,1,0.05889,0.848155876272358,0
Cache,,LOGAN,S0065,1,0.03051,0.937051279353909,0
Cache,CACHE,CACHE,S1160,1,0.01789,0.985293276549783,0
Cache,CACHE,CACHE,S1132,1,0.0204,0.978280068782624,0
Cache,CACHE,CACHE,S0993,1,0.03239,0.928169946593698,0
Cache,CACHE,CACHE,S0987,1,0.03095,0.945265319780447,0
Cache,CACHE,CACHE,S0961,2,0.03899,0.996466090611648,0
Cache,CACHE,CACHE,S0934,2,0.05257,0.886825611814857,0
Cache,CACHE,CACHE,S0922,3,0.07418,0.972570382640697,0
Cache,CACHE,CACHE,S0843,1,0.02761,0.756218060851097,0
Cache,CACHE,CACHE,S0840,3,0.0897,0.954209131537937,0
Cache,CACHE,CACHE,S0811,1,0.03179,0.803981860226486,0
Cache,CACHE,CACHE,S0710,1,0.0192,0.862705209525302,0
Cache,CACHE,CACHE,S0704,2,0.05461,0.791623973811511,0
